Time (ns),N,cutoff
0.0,12,6
0.001,13,6
0.002,13,6
0.003,13,6
0.004,13,6
0.005,14,6
0.006,14,6
0.007,14,6
0.008,14,6
0.009,13,6
0.01,14,6
0.011,13,6
0.012,14,6
0.013,12,6
0.014,14,6
0.015,14,6
0.016,13,6
0.017,12,6
0.018,12,6
0.019,13,6
0.02,13,6
0.021,13,6
0.022,13,6
0.023,14,6
0.024,13,6
0.025,13,6
0.026,14,6
0.027,12,6
0.028,13,6
0.029,14,6
0.03,12,6
0.031,13,6
0.032,13,6
0.033,13,6
0.034,13,6
0.035,12,6
0.036,12,6
0.037,13,6
0.038,12,6
0.039,12,6
0.04,13,6
0.041,12,6
0.042,13,6
0.043,13,6
0.044,12,6
0.045,12,6
0.046,13,6
0.047,11,6
0.048,12,6
0.049,11,6
0.05,12,6
0.051,12,6
0.052,12,6
0.053,12,6
0.054,12,6
0.055,12,6
0.056,12,6
0.057,11,6
0.058,12,6
0.059,12,6
0.06,12,6
0.061,12,6
0.062,12,6
0.063,12,6
0.064,12,6
0.065,12,6
0.066,12,6
0.067,12,6
0.068,12,6
0.069,12,6
0.07,12,6
0.071,12,6
0.072,12,6
0.073,12,6
0.074,12,6
0.075,12,6
0.076,12,6
0.077,12,6
0.078,13,6
0.079,11,6
0.08,12,6
0.081,12,6
0.082,12,6
0.083,12,6
0.084,12,6
0.085,12,6
0.086,12,6
0.087,12,6
0.088,11,6
0.089,12,6
0.09,12,6
0.091,12,6
0.092,11,6
0.093,13,6
0.094,13,6
0.095,13,6
0.096,13,6
0.097,13,6
0.098,12,6
0.099,11,6
0.0,13,5
0.001,13,5
0.002,13,5
0.003,14,5
0.004,14,5
0.005,14,5
0.006,14,5
0.007,14,5
0.008,14,5
0.009,14,5
0.01,14,5
0.011,14,5
0.012,14,5
0.013,13,5
0.014,14,5
0.015,14,5
0.016,13,5
0.017,13,5
0.018,13,5
0.019,14,5
0.02,14,5
0.021,14,5
0.022,14,5
0.023,14,5
0.024,15,5
0.025,14,5
0.026,14,5
0.027,14,5
0.028,14,5
0.029,14,5
0.03,14,5
0.031,13,5
0.032,14,5
0.033,14,5
0.034,15,5
0.035,14,5
0.036,13,5
0.037,14,5
0.038,13,5
0.039,15,5
0.04,14,5
0.041,13,5
0.042,14,5
0.043,13,5
0.044,14,5
0.045,13,5
0.046,13,5
0.047,13,5
0.048,13,5
0.049,11,5
0.05,14,5
0.051,13,5
0.052,12,5
0.053,12,5
0.054,13,5
0.055,13,5
0.056,12,5
0.057,12,5
0.058,12,5
0.059,12,5
0.06,12,5
0.061,12,5
0.062,12,5
0.063,12,5
0.064,12,5
0.065,12,5
0.066,12,5
0.067,12,5
0.068,12,5
0.069,12,5
0.07,12,5
0.071,13,5
0.072,12,5
0.073,12,5
0.074,12,5
0.075,12,5
0.076,12,5
0.077,12,5
0.078,13,5
0.079,13,5
0.08,12,5
0.081,12,5
0.082,12,5
0.083,12,5
0.084,12,5
0.085,12,5
0.086,12,5
0.087,12,5
0.088,12,5
0.089,13,5
0.09,13,5
0.091,13,5
0.092,13,5
0.093,13,5
0.094,13,5
0.095,13,5
0.096,13,5
0.097,13,5
0.098,13,5
0.099,13,5
0.0,14,4
0.001,14,4
0.002,14,4
0.003,15,4
0.004,14,4
0.005,14,4
0.006,14,4
0.007,14,4
0.008,14,4
0.009,15,4
0.01,14,4
0.011,14,4
0.012,14,4
0.013,14,4
0.014,14,4
0.015,14,4
0.016,14,4
0.017,14,4
0.018,13,4
0.019,14,4
0.02,14,4
0.021,14,4
0.022,14,4
0.023,14,4
0.024,15,4
0.025,14,4
0.026,15,4
0.027,14,4
0.028,14,4
0.029,14,4
0.03,14,4
0.031,14,4
0.032,14,4
0.033,15,4
0.034,15,4
0.035,15,4
0.036,15,4
0.037,15,4
0.038,14,4
0.039,15,4
0.04,16,4
0.041,16,4
0.042,15,4
0.043,14,4
0.044,14,4
0.045,15,4
0.046,14,4
0.047,14,4
0.048,14,4
0.049,14,4
0.05,15,4
0.051,15,4
0.052,14,4
0.053,12,4
0.054,14,4
0.055,13,4
0.056,13,4
0.057,13,4
0.058,13,4
0.059,13,4
0.06,12,4
0.061,13,4
0.062,12,4
0.063,14,4
0.064,13,4
0.065,13,4
0.066,15,4
0.067,12,4
0.068,12,4
0.069,13,4
0.07,13,4
0.071,13,4
0.072,12,4
0.073,12,4
0.074,12,4
0.075,13,4
0.076,12,4
0.077,12,4
0.078,14,4
0.079,13,4
0.08,12,4
0.081,12,4
0.082,13,4
0.083,13,4
0.084,12,4
0.085,12,4
0.086,12,4
0.087,14,4
0.088,13,4
0.089,14,4
0.09,14,4
0.091,14,4
0.092,15,4
0.093,13,4
0.094,14,4
0.095,13,4
0.096,13,4
0.097,13,4
0.098,14,4
0.099,13,4
0.0,16,3
0.001,15,3
0.002,16,3
0.003,16,3
0.004,16,3
0.005,18,3
0.006,17,3
0.007,17,3
0.008,16,3
0.009,17,3
0.01,15,3
0.011,15,3
0.012,15,3
0.013,18,3
0.014,16,3
0.015,15,3
0.016,17,3
0.017,19,3
0.018,17,3
0.019,16,3
0.02,15,3
0.021,15,3
0.022,17,3
0.023,18,3
0.024,17,3
0.025,19,3
0.026,17,3
0.027,16,3
0.028,17,3
0.029,16,3
0.03,18,3
0.031,18,3
0.032,17,3
0.033,17,3
0.034,17,3
0.035,17,3
0.036,18,3
0.037,17,3
0.038,16,3
0.039,17,3
0.04,18,3
0.041,19,3
0.042,19,3
0.043,18,3
0.044,17,3
0.045,18,3
0.046,16,3
0.047,16,3
0.048,16,3
0.049,16,3
0.05,19,3
0.051,17,3
0.052,19,3
0.053,17,3
0.054,18,3
0.055,17,3
0.056,15,3
0.057,19,3
0.058,17,3
0.059,17,3
0.06,16,3
0.061,17,3
0.062,19,3
0.063,19,3
0.064,19,3
0.065,16,3
0.066,15,3
0.067,16,3
0.068,13,3
0.069,18,3
0.07,15,3
0.071,16,3
0.072,14,3
0.073,14,3
0.074,14,3
0.075,14,3
0.076,15,3
0.077,14,3
0.078,16,3
0.079,15,3
0.08,15,3
0.081,16,3
0.082,18,3
0.083,14,3
0.084,15,3
0.085,14,3
0.086,18,3
0.087,15,3
0.088,17,3
0.089,15,3
0.09,17,3
0.091,16,3
0.092,17,3
0.093,14,3
0.094,17,3
0.095,16,3
0.096,18,3
0.097,17,3
0.098,15,3
0.099,16,3
